id,question,correct_answer,option1,option2,option3,option4,category,points
270,What are nawafil prayers?,Prayers which are voluntary and not obligatory(fard).,Prayers which are obligatory(fard).,Prayers which are permissible.,Prayers which are forbidden.,Prayers which are voluntary and not obligatory(fard).,The Great Masjid,10
271,What covering does the Dome of the Rock have today?(see pic),Ceramic.,Ceramic.,Mosaic.,Stone.,Stucco,The Great Masjid,10
272,What type of the Arabic script is shown in the visual here?,Taliq., Rahani. ,Muhaqqaq.,Taliq.,Kufic.,The Great Masjid,10
273,Which act is know as Sa'y?,Walking briskly between the hills of Safa and Marwah seven times during umrah or hajj.,Walking briskly between the hills of Safa and Marwah three times during umrah or hajj.,Walking briskly between the hills of Safa and Marwah seven times during umrah or hajj.,Walking briskly between the hills of Safa and Marwah five times during umrah or hajj.,Walking briskly between the hills of Safa and Marwah nine times during umrah or hajj.,The Great Masjid,10
274,What was the roof of the Prophet's time made of?,Leaves of date-palms.,  Teakwood., Stone.,Asbestors,Leaves of date-palms.,The Great Masjid,10
275,"In the Great mosque of Damascus, which of the following is depicted above the central mihrab?",Kabah.,Kabah.,Masjid an-Nabawi.,The Dome of the Rock.,Haramain.,The Great Masjid,10
276,Is tahajjud an obligatory(fard) prayer?,"No, tahajjud is a nafl prayer.",Yes. It is obligatory.,It is makruh.,"No, tahajjud is a nafl prayer.",It is haram.,The Great Masjid,10
277,The pillars of the Prophet's Mosque during the Prophet's lifetime were made of _______________.,Trunks of date-palms.,Camel Bones.,Trunks of date-palms.,Stone,Bricks.,The Great Masjid,10
278,Where was the Maghrabi style of Arabic writing developed?,Africa.,Saudi Arabia.,Turkey.,Spain.,Africa.,The Great Masjid,10
279,What prayers are called sunnah muakkadah?,"The prayers, besides the obligatory ones, which have been emphasized by the Prophet Muhammad(SAW).","The prayers, besides the obligatory ones, which have been emphasized by the Prophet Muhammad(SAW).",The prayers which have not been emphasized by the Prophet Muhammad(SAW).,The prayers which have been observed by the companion of the Prophet Muhammad(SAW).,"The prayers, besides the obligatory ones, which have been observed by the wives of the Prophet Muhammad(SAW).",The Great Masjid,10
280,How was the Prophet's Mosque expanded during the begin the reign of Caliph Umar ibn al-Khattab?,The original pillars of trunks of date-palms were changed into wooden pillars.,The original pillars of trunks of date-palms were changed into concrete pillars.,The original pillars of trunks of date-palms were sold to buy more lands.,The original pillars of trunks of date-palms were changed into wooden pillars.,None of the above.,The Great Masjid,10
281,Who developed the Naskhi script ?(see pic.),Ibn al-Bawwab.,Ibn-al-Khaldun.,Ibn al-Bawwab.,Ibn muqla., Ali.,The Great Masjid,10
282,When do we perform the nafl prayer in ishraq?,In the morning after sunrise.,In the afternoon before Asr.,In the evening after sunset.,In the morning immediately after subh.,In the morning after sunrise.,The Great Masjid,10
283,How did Caliph Uthman ibn Affan change the structure of the Prophet's Mosque?,"He made the roof of teak, the walls of engraved stones and limes and the pillars of stone.","He made the roof of teak, the walls of engraved stones and limes and the pillars of stone.",He changed the imam of the mosque.,He painted with cow dung.,"He made the roof of iron sheets, the walls of engraved stones and limes and the pillars of gold.",The Great Masjid,10
284,This is a famous Islamic Cultural Centre Mosque built in the year 1987-91 in the USA. Where is this mosque located?,New York.,Alabama,Washington,New York., Ohio,The Great Masjid,10
285,Should we look towards the sky during the salah?,No. The Prophet Muhammad (SAW) has sternly warned us against doing so.,Yes. It gives reassurance that prayers have been accepted. ,No. The Prophet Muhammad (SAW) has sternly warned us against doing so.,None of the above.,All of the above.,The Great Masjid,10
286,Name the mosques located in the Five Mosques Complex in Madinah.,"Masjid Fath, Masjid Abu Bakr, Masjid Farsi, Masjid Umar and Masjid Ali.","Masjid Fath, Masjid Abu Bakr, Masjid Farsi, Masjid Nur and Masjid Umar.","Masjid Basri, Masjid Abu Bakr, Masjid Almoniya, Masjid Umar and Masjid Ali.","Masjid Fatimah, Masjid Uthman, Masjid Farsi, Masjid Umar and Masjid Ali.","Masjid Fath, Masjid Abu Bakr, Masjid Farsi, Masjid Umar and Masjid Ali.",The Great Masjid,10
287,What was inscribed on the mosque lamps used during the mediaeval period?,The Verse of Light(24:35).,The Verse of Light(24:35).,Surah al-Fatihah.,The Verse of Qursiyyu.,The Verse of Hayyu Qayyum.,The Great Masjid,10
288,Which of the following is the beginning of the Hijiri calendar?,622 CE,157 CE,623 CE,622 CE,624 CE,The Great Masjid,10
289,Where is the town of Fadak situated?,Madinah.,Jerusalem.,Madinah.,Makkah.,Japan.,The Great Masjid,10
290,"What does term ""zimistan"" or ""shibistan"" in Persian language stand for?", A prayer hall.,A wudu station., A courtyard.,A maqsura in a mosque, A prayer hall.,The Great Masjid,10
291,When does Ashura fall in the Muslim calendar?,"10th of Muharram, the first month of the Muslim calendar.","10th of Muharram, the first month of the Muslim calendar.","9th of Muharram, the first month of the Muslim calendar.","10th of Dhul Hijjah, the first month of the Muslim calendar.","9th and 10th of Muharram, the first month of the Muslim calendar.",The Great Masjid,10
292,Where is the valley of Dhu-Tuwa?,Makkah.,Taif.,Madinah.,Makkah.,Jerusalem.,The Great Masjid,10
293,The ISNA mosque built in 1983 in the USA is situated in _______________________.,Indiana.,India.,Indiana.,Califonia., Chicago,The Great Masjid,10
294,What are al-Asma al-Husna?,The ninety-nine beautiful names of Allah.,The ninety-nine beautiful attributes of Allah.,The ninety-one beautiful names of Allah.,The ninety-nine beautiful names of Prophet Muhammad.,The ninety-nine beautiful names of Allah.,The Great Masjid,10
295,Where is the mountain of Uhud located?,Madinah.,Madinah.,Jerusalem., Makkah.,Yemen,The Great Masjid,10
296,This is a unique mosque whose roof is split into two staggered hemisapherical sections. This mosques is situated in ___________________.,Croatia.,Yemen,Madinah.,Croatia.,Greece,The Great Masjid,10
297,What acts constitute bida'h?,All practice and beliefs which are neither established by the Quran nor by the Sunnah.,All practice and beliefs which are neither established by the Quran only.,All practice and beliefs which are neither established by the Quran nor by the Sunnah.,All practice and beliefs which are  established by the Quran nor by the Sunnah.,All practice and beliefs which are not  established by the Sunnah only.,The Great Masjid,10
298,Where does Al-ghaba lie?,Madinah.,Syria.,Makkah.,Kufah.,Madinah.,The Great Masjid,10
299,What is Naskhir style of Arabic writing?,Arabic. ,Arabic. ,Persian.,Kurdish.,Turkish.,The Great Masjid,10
300,What do we recite first before we begin to recite the Quran?,Auzubillahi minash-shaytanir-rajim. Bismillahir-rahmanir-rahim.,La hawlah wala quwwata.,Astagfirullah.,Auzubillahi minash-shaytanir-rajim. Bismillahir-rahmanir-rahim.,in shaa Allah.,The Great Masjid,10
301,"Nazareth where the Prophet Isa(AS) grew up, is a town near?",Jerusalem.,Jordan.,Jerusalem.,Madinah., Makkah.,The Great Masjid,10
302,What is the time for offering the Fajir prayer?,Between dawn and sunrise.,After dawn and sunrise.,At dawn,Between dawn and sunrise.,At sunrise,Solat,10
303,What is the time for offering the Ishai prayer?,From the disappearance of the evening twilight till dawn,At sunset,From the disappearance of the evening twilight till dawn,At dawn,After sunrise,Solat,10
304,After dua thana what should we say?,surah fatiha,Surah Ikhlas,Syrah Falaq,Surah Nas,surah fatiha,Solat,10
305,What is the first thing say after standing for prayer after takbir tahrimah?,Dua Thana ''Subhanaka Allahumma'',Dua Thana ''Subhanaka Allahumma'',Subuhana robbyal azeem.,Subuhana robbyal ala.,La illaha illa Allah,Solat,10
306,What should you say before doing wudu or ablution?,Bismillah,Allahu Akbar,Subhanallah,Bismillah,Astaghfirullah,Solat,10
307,"How will you do your wudu or ablution? 1. I will wash both hands, 2. rinse my mouth and nostril and my face thrice, 3. wipe my both arms thrice, 4. wipe my head and hears once 5. wash both feet once.","1., 2., 3., 4., and 5.",1. and 3. only,"1., 2., 3., 4., and 5.","3., 4., and 5. only","1., and 2. only",Solat,10
308,Which pray (dua) should we say before entering a mosque?,Allahumma aftahli abwaba rahmatika,Astaghfirullah,Yaa ayyu yaa qayyum,Allahumo inee as'aluka min fadhlik,Allahumma aftahli abwaba rahmatika,Solat,10
309,Is any special clothing required in which to offer prayers?,No,Yes.,No,None of the above,All of the above,Solat,10
310,What is adhan?,The call to prayer,Punishment of the grave,Wedding gifts,A state in Iraq,The call to prayer,Solat,10
311,In which direction should you face for your prayer(solat)?,The Kabah (this is called the Qibla).,The Kabah (this is called the Qibla).,Al Aqsa,Masjid Nabawi,The black stone,Solat,10
312,How many times a day did Allah initially want us to offer prayer (solat)?,50 times a day.,500 times a week,50 times a day.,5 times a day,22 times a day,Solat,10
313,How many raka'hs are fajir?,2 rak'áhs,6 rak'áhs,3 rak'áhs,4 rak'áhs,2 rak'áhs,Solat,10
314,How many Fard rak'ahs are there in Mogrib prayer?,4 rak'ahs,4 rak'ahs,7 rak'ahs,2 rak'ahs,3 rak'ahs,Solat,10
315,How many Fard rak'ahs are there in ishai prayer?,4 rak'ahs,2 rak'ahs,9 rak'ahs,4 rak'ahs,3 rak'ahs,Solat,10
316,How many Fard raka'ahs are there in the Zuhr?,4 rak'ahs,16 rak'ahs,4 rak'ahs,2 rak'ahs,3 rak'áhs,Solat,10
317,What do we say in ruku or bowing position?,Subuhana robbyal azeem.,Subuhana robbyal ala.,Yaa ayyu yaa qayyum,Astaghfirullah,Subuhana robbyal azeem.,Solat,10
318,what do we say in sajida or self prostrating position?,Subuhana robbyal ala.,Subuhana robbyal ala.,Subuhana robbyal azeem.,La illaha illa Allah,Bismillah,Solat,10
319,What is the time for offering the Zuhr prayer?,Between noon and mid afternoon.,immediately after shuruk,At mid afternoon,At noon,Between noon and mid afternoon.,Solat,10
320,Who is called an Imam?,Who leads in our prayer.,Who leads in our prayer.,Who calls to prayer,leader of a muslim community,commander of muslim army,Solat,10
321,Is there any fixed time for each prayer (solat)?,Yes.,No.,Yes.,None of the above,All of the above,Solat,10
322,What is the meaning of Allah Akbar?,Allah is great.,Allah is sufficient.,Allah is merciful.,Allah is great.,Allah is beneficient.,Solat,10
323,What is musallah?,The mat we pray on.,Position of Imam.,Muslim land surrounded by water.,Bilad al Kufr.,The mat we pray on.,Solat,10
324,What is the first thing a person will be questioned on the day of judgement?,The five daily prayers.,The five daily prayers.,The Islam of our spouse.,The Islam of our children.,The condition of our neighbours.,Solat,10
325,Give any two messages that the five daily prayer teach us. 1. we should live in peace. 2. we should quarrel with each other. 3. We should leave bad behaviours,1. and 3. only,1. and 2. only,1. and 3. only,2. and 3. only,All of the above,Solat,10
326,What is the time for offering the Asr Prayer?,Between mid afternoon and sunset.,At sunset,At mid afternoon,Between mid afternoon and sunset.,Any time before 12 mid night,Solat,10
327,Name any prayer which are perform only in congregation.,Friday and Eid prayers.,Friday prayer only,Eid prayer only,Tahajjud,Friday and Eid prayers.,Solat,10
328,How many raka'hs are there in the Friday or Jumu'ah prayer?,2 rak'ahs.,2 rak'ahs.,4 rak'ahs.,3 rak'ahs.,all of the above,Solat,10
329,From what age did Prophet Muhammed(S.A.W) tell the children to offer prayer(solat),7 years.,5 years.,7 years.,4 years.,6 years.,Solat,10
330,How many raka'ahs are there in the Id prayer?,2 rak'ahs.,7 rak'ahs.,5 rak'ahs.,2 rak'ahs.,4 rak'ahs.,Solat,10
331,What is the meaning of the sunna prayer?,The Prophet Muhammed(S.A.W) customary .,The Prophet Muhammed(S.A.W) prayer .,The Prophet Muhammed(S.A.W) exchange with companions.,The Prophet Muhammed(S.A.W) compulsion .,The Prophet Muhammed(S.A.W) customary .,Solat,10
332,What is the meaning of Bisimillah?,In the name of Allah.,In the name of Allah.,Bisi of Illa,In the struggle of Allah.,In the spirit of Allah,Solat,10
333,"What is the meaning of "" La ilaha Illahah""?",There is no deity except Allah.,Everything is Allah,There is no deity except Allah.,There is no deity to Allah,There is no way to Allah,Solat,10
334,Name any dua you can pray after salam?,Rabbi zidni 'ilma.,Subuhana robbyal ala.,Subuhana robbyal azeem.,Rabbi zidni 'ilma.,None of the above,Solat,10
335,How do we end our prayer (solat)?,"We turn our face first to the right and then to left,while saying ""Assalam Alaykum"".",We spit to our right and then to the left,We sit and wait for Imam to lift us up,We pat ourselves at the back.,"We turn our face first to the right and then to left,while saying ""Assalam Alaykum"".",Solat,10
336,How do we begin our prayer (solat)?,We raise our eyes and say Allahu Akbar.,We raise our eyes and say Allahu Akbar.,We rub our palm together and Say Allahu Akbar.,We put our hands on the belly and say Fatiha.,"We raise our hands to the shoulders/ear lobes and then say, Allah akbar.",Solat,10
337,which pray (dua) should we say after coming out of the mosque?,Allahumo ini as'aluka min fodlika.,Allahumo aftahali abwaba rahmatik,Allahumo ini as'aluka min fodlika.,Allahumo Ajirnee mina nar.,La illaha illa Allah,Solat,10
338,what are the prayer we offer in a group called?,Congregational prayers.,Sunnah prayer.,Mubah prayer.,Congregational prayers.,Council prayer.,Solat,10
339,How many times in a day should we offer prayer (solat)?,5 times.,3 times.,6 times.,50 times.,5 times.,Solat,10
340,what is the unit of measurement of the prayer (solat)?,Rak'ah.,Rak'ah.,Shurut,Rukn,Arkan,Solat,10
341,who is a Muadhdhin?,The one who gives the call to prayer.,The one who leads the prayer.,The one who gives the call to prayer.,The one who recites the Qur'an.,The one who is versed in hadith.,Solat,10
342,What is the ritual washing done before every prayer (solat) called?,Wudu or ablution.,Bathing,Ghusl,Wudu or ablution.,All of the above,Solat,10
343,What is the meaning of fard prayer?,Compulsory prayer.,Encouraged prayer,Permissible prayer.,Sunnah prayer.,Compulsory prayer.,Solat,10
344,Why do we offer prayer or solat?,To remember Allah.,To remember Allah.,To seek alien power.,to become all knowing.,To become independent.,Solat,10
345,What kind of place does one need to offer prayer(solat)?,Any clean surface.,In the lavatory.,Any clean surface.,In the market.,On the highway.,Solat,10
346,Is it necessary to do wudu or ablution for every prayer(solat)?,Yes.,Yes.,No.,None of the above,All of the above,Solat,10
347,Which prayer is observed in a big field?,The two Eids,Zuhr.,Asr.,Fajr.,The two Eids,Solat,10
348,"Name the rites performed by walking to and fro between the Safa and Marwah hills, as a part of Hajj or umrah.",Sa'y (pronounced saee).,Mudd,Sa'y (pronounced saee).,Safa,Marwa,Hajj,10
349,Near the Kabah there stands a structure which is named after the Prophet Ibrahim. Name it.,Maqam Ibrahim),Maqam Ayyub,Maqam Musa,Maqam Ibrahim),Maqam Ismail,Hajj,10
350,Name the place where the Prophet Ibrahim (Abraham) was born.,Ur in Iraq.,Ur in Iraq.,Anbar in Iraq,Isfahan in Iran,Tehran in Iran,Hajj,10
351,"Where is the black stone, or al-Hajar al-Aswad placed?",At the eastern corner of the Kabah,At the southern corner of the Kabah,At the Northern corner of the Kabah,At the Western corner of the Kabah,At the eastern corner of the Kabah,Hajj,10
352,Name the two little hills between which the prophet Ibrahim's wife Hajar ran desperately in search of water.,Safa and Marwah.,Sa'y and Marwa,Safa and Marwah.,Safa and Mina,Makkah and Madinah,Hajj,10
353,Describe the location and significance of cave of hira.,The cave is at the Mount of  Mercy in Makkah where the Prophet Muhammad received the very first revelation of the Quran.,The cave is in Baghdad where the Prophet Muhammad got married to Khadijah.,The cave is in Madinah where the Prophet Muhammad received his first wife.,The cave is at the Mount of  Mercy in Makkah where the Prophet Muhammad received the very first revelation of the Quran.,The cave is at the Mount of  everest in Makkah where the Prophet Musa received the very first revelation of the Torah.,Hajj,10
354,"What is the black stone or al-hajar al-aswad? 1. The black Stone originally set there by the Prophet Ibrahim(A.S), 2. It is the only relic of the original building. 3. It is enclosed in a silver frame and 4. It is fixed on one of the corners of the Kabah.","1, 2, 3, 4","1, 2, 3, 4",1 and 3 only,2 and 4 only,1 and 4 only,Hajj,10
355,"Name the walkway between the two hills, Safa and Marwah.",Masa.,Masa and Marwah,Safa and Marwah.,Marwah,Masa.,Hajj,10
356,The Quran mentions how close the Prophet Ibrahim(A.S) was to Allah. For this reason he was given a title. What was it?,"Khalilullah, or the Friend of God.",Asadullah,"Khalilullah, or the Friend of God.",Izzullah,Muhyllah,Hajj,10
357,"Once the caliph Umar stood in front of Black stone and addressed it thus: ""I know quite well that you are nothing but a stone which can do neither good or evil.."" Do you remember what he said afterwards?","'… Had I not seen the Prophet Muhammad kissing you, I would have never kissed you.''","'… Had I seen the Prophet Muhammad kissing you, I would have kissed you.''","'… Had I not seen the Prophet Muhammad kissing you, I would have never kissed you.''",None of the above,All of the above,Hajj,10
358,The Zamzam area is located near the Kabah and accessible in underground galleries reached by a flight of steps. How many entrances are there for this area?,"Two entrances, one for men and one for women.","Two entrances, one for men and one for women.","Three entrances, one for men, one for women and one for aged.",One entrance for men only,One entrance for women only,Hajj,10
359,"When the Prophet Ibrahim grew up, he travelled to certain neigbouring countries. Name any one of them?",1. syria 2. Palestine 3. Egypt,Baghdad.,Tel Aviv.,Kualar Lumpur.,1. syria 2. Palestine 3. Egypt,Hajj,10
360,Why did the Prophet kiss the Black stone?,"Because the Black Stone was placed at the Kabah by the great Prophet Ibrahim himself. For this historical reason, the Prophet Muhammad showed a great fondness for the stone by kissing it.",Because he was commanded by Allah to do so.,"Because the Black Stone was placed at the Kabah by the great Prophet Ibrahim himself. For this historical reason, the Prophet Muhammad showed a great fondness for the stone by kissing it.",Because the black stone can heal the Prophet of sickness.,None of the above,Hajj,10
361,What is the diameter of the Black Stone or al-hajar al-aswad?,18cm in diameter.,20cm in diameter.,35cm in diameter.,18cm in diameter.,19cm in diameter.,Hajj,10
362,"When a beautiful son was born to his wife Hajar, the Prophet Ibrahim was ordered by Allah to travel to certain city. Name the city.",Makkah (This place was not yet inhabited and in the words of the Quran it was just a ''barren valley'').,Makkah (This place was not yet inhabited and in the words of the Quran it was just a ''barren valley'').,Madinah,Lebanon,Taif.,Hajj,10
363,Hajj is one of the five pillars of islam. Who should perform it?,"Every muslim male and female, must go on the Hajj once in a lifetime, provided their means and health permit.",Every sinful Muslim so they can be free from their sin.,Only Muslim men who are capable.,Only women looking for Allah's blessing.,"Every muslim male and female, must go on the Hajj once in a lifetime, provided their means and health permit.",Hajj,10
364,Name the platform on which Kabah was built.,The Kabah was raised on a one foot high marble base called Shadharwan.,The Kabah was raised on a one foot high marble base called Stucco.,The Kabah was raised on a one foot high marble base called Shadharwan.,The Kabah was raised on a one foot high terrazo base called porcelain.,The Kabah was raised on a one foot high marble base called Hijaz.,Hajj,10
365,What is inside the Kabah?,some wooden pillars which support the roof. The walls and the floor are covered with Marble.,some wooden pillars which support the roof. The walls and the floor are covered with Marble.,some idols placed inside by the Prophet. ,some ancient antiquities taken from conquered lands.,None of the above,Hajj,10
366,"The Kabah has four corners, all of which have specific names. Name any one of them.1. The eastern corner is called ar-rukn asl-aswad after the Blak Stone,fixed on this corner. 2. The southern corner, facing yemen, is called ar-rukn al-Yamani. 3. The northern corner, facing Iraq, is called ar-rukn al-Iraqi. 4. The western corner, facing Syria, is called ar-rukn ash-shaami.","1, 2, 3, and 4.",1 only,1 and 2 only.,3 and 4 only.,"1, 2, 3, and 4.",Hajj,10
367,"When  the Prophet left his wife Hajar and infant son in the place now known as Makkah and started to go away, his wife protested."" Why are you leaving us to die? Ibrahim replied,""Lord has commanded to do this "". What was his wife's reply?  ","Breathing  a sigh of relief, the Prophet Ibrahim's (A.S) wife said ''if Allah has ordered you to do so, then He will not let us die.''","Breathing  a sigh of disappointment, the Prophet Ibrahim's (A.S) wife said ''Allah could not have ordered you to leave us here.''","Breathing  a sigh of relief, the Prophet Ibrahim's (A.S) wife said ''if Allah has ordered you to do so, then He will not let us die.''",None of the above,All of the above,Hajj,10
368,"While the Imam leads the prayer, is it permissible to pray inside the area enclosed by the semi-circular wall which runs from the north to the west corner of the Kabah?",No,No,Yes,All of the above.,None of the above,Hajj,10
369,A thick semi-circular wall of white marble about three feet high runs from the north to the west corner of the Kabah without being connected to it.What is this called?,"Al-Hateem.(At some time in the past this semi-circular space was a part of the Kabah, hence it enjoys a very special status. People pray two rakah inside it, as if they were praying inside the Kabah.)","Al-Hateem.(At some time in the past this semi-circular space was a part of the Kabah, hence it enjoys a very special status. People pray two rakah inside it, as if they were praying inside the Kabah.)",Al-Kateem,Al-Haram,Al-Uruwah,Hajj,10
370,"When the Prophet Ibrahim left his wife an the infant son, Ismail, in the barren valley now known as Makkah what happened then? 1, After a while,baby Ismail began to cry for water. 2. But there was not a single drop to drink. 3. Hajar ran seven times helplessly from one hill to another, without finding any water. 4. But then a miracle happened and a spring of water gushed out, which is now known as Zamzam. This saved the life of the baby.","1, 2, 3, and 4","1, 2, and 4 only.",1 and 4 only,2 and 4 only,"1, 2, 3, and 4",Hajj,10
371,What was one of most favorite prayers of the Prophet which would recite while doing tawaf of the Kabah?,"'Our Lord, give us goodness in this world and goodness in the Hereafter, and keep us safe from the fire of Hell.''","'Our Lord, give us goodness in this world  and keep us safe from the fire of Hell.''","'Our Lord, give us goodness in this world and goodness in the Hereafter, and keep us safe from the fire of Hell.''",'Our Lord goodness in the Hereafter and keep us safe from the fire of Hell.'',None of the above,Hajj,10
372,Name the mountain on which the Prophet preached his last sermon at Arafat.,The Mount of Mercy,Mount Sinai,Mount Uhud.,The Mount of Mercy,Mount Everest.,Hajj,10
373,"One night the Prophet Ibrahim dreamt that he was sacrificing his young son, Ismail. When he told Ismail that it was his Lord commandment, what did young Ismail say?","'Do what you are commanded, father. God willing, you wiil find me one of the steadfast.''","'Do what you are commanded, father. God willing, you wiil find me one of the steadfast.''",He started crying and shouting I don't want to die.,He ran to his mother for safety.,He prayed to Allah to send ram to replace him.,Hajj,10
374,Recite the Talbiya. The pilgrim prayer.,"Labbayk Allahumma labbayk; labbyka la sharika laka labbyk; innal hamda wanni'mata laka,wal-mulk, la sharika lak.(Here I am, O Allah! Here I am! Here I am . You have no partner. Here I am. Surely Yours is all praise, all goodness and all sovereingnty and You have no partner ","Labbayk Allahumma thumma labbayk; labbyka la sharika laka thumma labbyk; innal hamda wanni'mata laka,wal-mulk, la sharika lak.(Here I am, O Allah! Here I am! Here I am . You have no partner. Here I am. Surely Yours is all praise, all goodness and all sovereingnty and You have no partner ","Allahumma labbayk; La sharika laka labbyk; innal hamda wanni'mata laka,wal-mulk, la sharika lak.(Here I am, O Allah! Here I am! Here I am . You have no partner. Here I am. Surely Yours is all praise, all goodness and all sovereingnty and You have no partner ","Labbayk Allahumma labbayk; labbyka la sharika labbyk; innal hamda, la sharika lak.(Here I am, O Allah! Here I am! Here I am . You have no partner. Here I am. Surely Yours is all praise, all goodness and all sovereingnty and You have no partner ","Labbayk Allahumma labbayk; labbyka la sharika laka labbyk; innal hamda wanni'mata laka,wal-mulk, la sharika lak.(Here I am, O Allah! Here I am! Here I am . You have no partner. Here I am. Surely Yours is all praise, all goodness and all sovereingnty and You have no partner ",Hajj,10
375,What is Arafat?,A plain about 12 miles/ 19 kilometers east of Makkah. It is major local point for Hajj.,A plain about 19 miles/ 24 kilometers east of Makkah. It is a major hotel for Hujjaj.,A plain about 12 miles/ 19 kilometers east of Makkah. It is major local point for Hajj.,A plain about 12 miles/ 19 kilometers west of Makkah. It is major local point for Hajj.,A plain about 12 miles/ 19 kilometers north of Makkah. It is major local point for Hajj.,Hajj,10
376,"While going to sacrifice his son, what did Prophet Ibrahim do when he saw Satan in the valley?",He picked up a few small stones and threw them at Satan.(Little Ismail and his mother did likewise.),He ran away from satan with his family.,He started reciting ayat Kurisiy to chase satan away.,He picked up a few small stones and threw them at Satan.(Little Ismail and his mother did likewise.),The family ran away and leave him with Satan,Hajj,10
377,"After delivering the sermon at Arafat, Prophet performed two prayers together. Name the prayers.",Zuhr and Asr.,Zuhr and Asr.,Maghrib and Isha.,Duha and Zuhr.,None of the above,Hajj,10
378,What is al-Masjid al-Haram?,"The sacred mosque. The gigantic mosque in Makkah, in the centre of which the Kabah stands. The mosque  also encloses Safa and Marwa amd the Zamzam area.",The sacred mosque for Meccans Only,The sacred mosque in Kuffah.,The sacred mosque in Tehran. ,"The sacred mosque. The gigantic mosque in Makkah, in the centre of which the Kabah stands. The mosque  also encloses Safa and Marwa amd the Zamzam area.",Hajj,10
379,What is the meaning of Eid al-Adha?,The Feast of the Sacrifice.,The Feast of the breaking fast.,The Feast of the Prophet Ibrahim (AS).,The Feast of the Sacrifice.,The Feast of the Saints.,Hajj,10
380,"What does the ""standing"" at Arafat symbolize?","It symbolizes the Day of Resurrection,(when everyone will stand before Allah to be judged.)","It symbolizes the Day of Resurrection,(when everyone will stand before Allah to be judged.)",It symbolizes population of the Muslim world.,It symbolizes power of the Muslims,None of the above,Hajj,10
381,What is Al-Bayt Al-Atiq?,The ancient House. One of the names of the Kabah in the Quran.,The clean house.,A brothels,The gambling house.,The ancient House. One of the names of the Kabah in the Quran.,Hajj,10
382,"What happened when the Prophet Ibrahim took a knife to sacrifice his beloved son, Ismail?","As the Prophet Ibrahim took a knife to sacrifice Ismail, Allah sent the Angel Jibril(Gabriel) with a ram, who said, ''Sacrifice this ram. Do not sacrifice Ismail.''(Thus Allah saved Ismail.)",The knife started talking,"As the Prophet Ibrahim took a knife to sacrifice Ismail, Allah sent the Angel Jibril(Gabriel) with a ram, who said, ''Sacrifice this ram. Do not sacrifice Ismail.''(Thus Allah saved Ismail.)",The knife shattered.,The knife gave salam to Prophet Ibrahim.,Hajj,10
383,"On reaching Muzdalifah, the Prophet asked his companion Bilal to give the call for prayers. The Prophet here combined two prayers. Name the Prayers.",Maghrib and Isha.,Zuhr and Asr.,Fajr and Zuhr,Maghrib and Isha.,Isha and Fajr.,Hajj,10
384,What is Namirah Mosque?,The mosque at Arafat where pilgrims recite the combined Prayers of Zuhr and Asr on 9th Dhul Hijjah.,The mosque at Arafat where pilgrims recite the combined Prayers of Zuhr and Asr on 9th Dhul Hijjah.,The mosque at Arafat where pilgrims come together to feast.,The mosque at Arafat where pilgrims do dhikr together every Sunday.,None of the above,Hajj,10
385,"Allah was pleased with the readiness of the Prophet Ibrahim to sacrifice his beloved son, so He commanded believers to observe this day as a great festival. Name the festival.",Eid al-Adha or the Feast of Sacrifice.,Eid al-maulud.,Eid al-Fitr,Eid al-Juma'ah,Eid al-Adha or the Feast of Sacrifice.,Hajj,10
386,"After a short rest at Muzdalifah, the Prophet picked up a small pebbles and set out before sunrise. Name the place towards which the Prophet journeyed.",Mina,Taif,Mina,Medinah,Jordan,Hajj,10
387,What is Muzdalifah?,A place 3.5 miles/8 kilometers away from Makkah. Pilgrims on the way from Arafat to Mina stay here overnight and collect small pebbles to throw at the jamarat in Mina.,A place 3.5 miles/8 kilometers away from Madinah. Pilgrims on the way from Arafat to Mina stay here overnight and collect small pebbles to throw at the jamarat in Mina.,A place 3.5 miles/8 kilometers away from Taif. Pilgrims on the way from Taif to Mina stay here overnight and collect small pebbles to throw at the jamarat in Mina.,A place 3.5 miles/8 kilometers away from Makkah. Pilgrims on the way from Arafat to Mina stay here overnight and collect small pebbles to throw at the jamarat in Mina.,None of the above,Hajj,10
388,"Name the Prophet who said the following Prayers: ''Truly, my prayers, my sacrifice, my life and death all belong to Allah, the Lord of worlds'' (Surah al-An'am 6:162)",The Prophet Ibrahim(A.S),The Prophet Ibrahim(A.S),The Prophet Musa(A.S),The Prophet Isa(A.S),The Prophet Ismail(A.S),Hajj,10
389,Give one of the several codes of conduct during Hajj. 1. No fighting or quarreling. 2. No telling lies. 3. No swearing or profanity 4. No false accusations. 5. No standing or backbiting.,"1, 2, 3, 4, and 5.",1 and 5 only.,"2, 3, and 4 only.","1, 2, and 4 only.","1, 2, 3, 4, and 5.",Hajj,10
390,What is Burqa?(In context with the Kabah),Lit. ''the veil.'' The curtain that covers the door of the Kabah.,The curtain that covers the door of the masjid nabawi.,Lit. ''the veil.'' The curtain that covers the door of the Kabah.,Any curtain that covers the entrance of a masjid.,The curtain that covers the door of the masjid An-Nur.,Hajj,10
